,true,predicted
0,171,473.57382
1,237,469.88358
2,210,185.92035
3,139,805.1569
4,572,897.1729
5,270,322.0762
6,372,503.77798
7,195,477.3248
8,224,306.8437
9,436,193.29759
10,446,642.6069
11,463,738.5186
12,103,329.84738
13,93,452.3573
14,99,260.23413
15,169,556.0849
16,182,309.22516
17,2,619.9397
18,294,601.34235
19,517,704.1582
20,300,280.1704
21,568,882.79486
22,180,211.66165
23,257,827.92224
24,342,929.67566
25,333,498.76523
26,589,756.3535
27,394,628.72974
28,575,953.8424
29,357,714.89197
30,385,446.3489
31,315,507.56393
32,216,520.69867
33,107,244.53862
34,32,274.12814
35,109,177.42227
36,457,738.82104
37,119,584.9616
38,383,666.4815
39,348,545.6347
40,591,626.6971
41,554,891.11804
42,263,423.35828
43,434,516.6945
44,112,268.34375
45,108,576.3651
46,197,402.8776
47,200,772.22235
48,459,547.64307
49,416,484.41037
50,255,657.71985
51,205,592.3177
52,179,474.72226
53,395,898.83716
54,569,864.40576
55,360,625.5531
56,123,519.8594
57,421,229.73413
58,482,479.38403
59,77,263.36636
60,15,216.07188
61,45,231.04381
62,414,679.261
63,165,418.14594
64,19,507.69836
65,542,575.1844
66,227,694.3672
67,476,735.0511
68,599,587.65216
69,594,910.01154
70,258,730.16144
71,247,381.34
72,228,534.61694
73,544,806.8977
74,283,860.98206
75,378,499.26468
76,515,867.355
77,46,175.7307
78,199,573.10565
79,75,338.42224
80,507,475.8259
81,415,526.58594
82,460,573.4046
83,120,407.7475
84,134,517.5572
85,352,696.3792
86,151,352.31378
87,128,282.088
88,586,902.73676
89,264,263.07605
90,337,553.2907
91,545,677.4574
92,516,708.48065
93,536,724.6528
94,70,204.36009
95,155,378.38025
96,498,705.3473
97,470,480.69913
98,503,827.8105
99,538,897.84784
100,344,225.4727
101,52,245.23691
102,310,534.56964
103,106,518.37213
104,480,656.2444
105,243,590.6947
106,157,471.2864
107,76,560.9169
108,301,505.76813
109,303,472.988
110,403,553.4656
111,465,782.76245
112,316,346.95587
113,102,256.2209
114,13,347.36334
115,513,898.82654
116,391,684.9779
117,223,272.49887
118,551,685.7938
119,309,709.2752
120,485,784.5442
121,53,672.5099
122,175,440.84717
123,213,346.06735
124,560,951.8673
125,226,533.9874
126,588,596.9626
127,63,472.57468
128,347,766.77264
129,561,605.8446
130,121,452.35876
131,550,680.0513
132,232,368.06796
133,435,675.5846
134,190,389.53757
135,122,438.97867
136,256,502.7691
137,84,474.8408
138,454,249.80504
139,41,223.51956
140,367,627.8127
141,346,645.75616
142,57,359.6666
143,92,415.05548
144,148,591.9284
145,466,376.89276
146,164,474.78174
147,251,596.91656
148,96,167.7382
149,168,403.70404
150,275,257.043
151,519,750.31854
152,371,359.66046
153,523,885.4643
154,340,242.0801
155,341,554.679
156,276,672.59705
157,452,613.95935
158,499,602.12573
159,431,666.8488
160,174,250.18634
161,208,349.989
162,549,947.2543
163,512,353.84167
164,596,859.0604
165,350,752.59436
166,565,573.2403
167,504,496.8296
168,602,958.4867
169,484,843.185
170,73,260.23413
171,566,605.9253
172,241,843.5175
173,314,415.7522
174,562,624.4782
175,117,233.67392
176,252,528.4423
177,450,747.6564
178,30,202.13246
179,12,480.6189
180,25,517.41174
181,94,296.59625
182,339,403.36108
183,287,620.8132
184,104,370.1795
185,24,550.57697
186,1,506.4394
187,397,712.3782
188,443,593.4524
189,428,621.03796
190,23,549.6083
191,438,868.9284
192,537,888.8941
193,160,534.4679
194,60,372.4993
195,87,219.19559
196,520,776.00616
197,118,239.29912
198,606,920.8185
199,172,386.44638
200,116,254.40436
201,358,699.3143
202,411,709.92834
203,8,404.3175
204,389,710.7296
205,295,540.9859
206,272,513.6709
207,214,256.2209
208,58,316.34467
209,453,700.52924
210,203,434.65964
211,556,492.26797
212,327,447.9272
213,462,844.6144
214,381,685.9511
215,221,248.40344
216,253,272.49887
217,91,659.4394
218,533,984.1159
219,508,790.00287
220,176,616.34393
221,362,714.475
222,543,880.50305
223,304,594.19763
224,432,769.6416
225,80,405.88007
226,377,222.84102
227,215,479.72366
228,546,804.9668
229,261,239.86703
230,526,525.8004
231,293,304.85498
232,113,606.018
233,281,512.84216
234,297,448.18808
235,126,380.31775
236,37,522.03
237,288,398.67902
238,328,621.8383
239,408,468.14157
240,271,603.0936
241,311,604.3591
242,577,504.06476
243,430,681.7317
244,355,715.93915
245,506,759.2406
246,398,509.9091
247,34,189.94653
248,422,486.39124
249,289,710.62695
250,286,701.95715
251,384,683.41876
252,149,387.15314
253,330,495.69037
254,184,473.3031
255,130,470.6722
256,154,565.83875
257,233,249.0612
258,374,403.85956
259,363,588.3197
260,390,801.6319
261,212,471.06754
262,219,353.11942
263,405,745.0928
264,235,634.58405
265,284,517.8538
266,457,510.96048
267,326,520.00104
268,133,334.0477
269,427,644.2064
270,82,689.9242
271,193,587.0911
272,321,594.8688
273,524,858.1595
274,254,280.1704
275,129,541.4214
276,162,640.2864
277,146,609.4244
278,582,681.1614
279,201,269.84216
280,473,745.21796
281,178,415.34485
282,114,737.3898
283,49,527.30316
284,163,187.1156
285,590,562.6067
286,202,511.5903
287,555,519.32263
288,225,559.3192
289,392,593.4669
290,318,581.92255
291,368,494.51337
292,292,498.53165
293,548,764.8599
294,100,394.3937
295,51,460.11493
296,209,389.6945
297,20,227.03357
298,322,470.5268
299,65,369.80444
300,266,447.91858
301,192,508.0742
302,207,605.4185
303,0,223.51956
304,282,453.18692
305,592,768.4808
306,597,745.0445
307,464,667.22845
308,183,328.7942
309,217,248.09898
310,548,850.0086
311,198,661.70306
312,598,759.39606
313,153,370.61557
314,425,604.7903
315,426,375.06458
316,583,505.72595
317,111,363.6359
318,418,575.7499
319,277,712.7916
320,359,501.7288
321,477,651.98047
322,127,403.32626
323,239,721.87335
324,559,660.7305
325,604,561.4835
326,144,304.41837
327,181,612.4464
328,595,937.01605
329,280,492.3773
330,532,480.51114
331,585,524.43
332,509,658.7235
333,313,631.2613
334,28,411.85443
335,56,508.3364
336,496,426.07132
337,4,686.281
338,461,645.1188
339,29,282.16086
340,456,563.95215
341,564,721.7301
342,455,509.44058
343,83,589.9753
344,490,535.8505
345,505,898.6928
346,22,353.84167
347,492,686.4734
348,373,627.6701
349,50,459.90292
350,437,534.7431
351,605,958.4867
352,136,497.62003
353,407,488.47122
354,510,783.5476
355,124,506.41684
356,382,644.65
357,47,255.69473
358,16,506.51965
359,552,581.23987
360,279,492.11594
361,404,709.078
362,441,681.8153
363,285,459.87033
364,356,555.20575
365,479,657.4028
366,278,578.104
367,601,859.4275
368,420,913.3261
369,97,857.6993
370,167,430.07248
371,156,713.74817
372,563,596.2766
373,85,494.51837
374,474,564.3188
375,417,718.73364
376,21,487.1195
377,194,343.92682
378,481,736.4649
379,424,538.1171
380,138,640.60974
381,576,866.7935
382,584,864.8205
383,574,472.89758
384,140,252.34589
385,89,438.0204
386,396,373.61255
387,511,624.66925
388,335,483.5777
389,467,517.5134
390,401,547.8943
391,518,740.3974
392,265,477.2632
393,71,610.8296
394,475,548.28235
395,135,758.61884
396,353,621.16376
397,54,540.81537
398,320,642.2226
399,221,578.1832
400,469,883.71344
401,580,683.7889
402,3,423.4226
403,238,388.4163
404,429,473.36224
405,152,200.59601
406,299,389.53757
407,158,533.03796
408,31,479.4245
409,430,929.67566
410,186,333.9647
411,440,701.0732
412,240,558.71655
413,302,659.8336
414,486,883.7764
415,514,806.09875
416,5,197.6606
417,306,571.1017
418,334,380.37964
419,413,718.29584
420,338,886.9834
421,248,340.6828
422,81,253.35631
423,540,672.6993
424,587,783.438
425,43,487.33978
426,137,193.58296
427,379,589.69366
428,234,626.33496
429,536,912.5769
430,191,362.06683
431,142,244.41011
432,409,571.253
433,370,583.5948
434,529,742.00775
435,74,422.5208
436,380,956.79626
437,185,531.5418
438,425,554.29224
439,143,485.69586
440,17,203.66228
441,131,533.0854
442,567,826.05585
443,98,724.91785
444,69,396.10922
445,423,725.25287
446,332,491.65494
447,250,527.0589
448,531,872.94684
449,33,202.13246
450,166,487.20453
451,361,449.91263
452,246,565.7883
453,173,740.87836
454,161,324.075
455,433,573.03754
456,296,503.75528
457,147,466.06125
458,393,570.7491
459,307,846.3158
460,62,628.1721
461,603,949.45087
462,419,402.42776
463,308,386.3635
464,481,701.0077
465,406,591.48846
466,343,561.48517
467,439,716.4817
468,188,642.49866
469,448,572.1515
470,525,725.3046
471,573,643.4051
472,369,519.4939
473,491,660.8896
474,35,314.748
475,260,202.13246
476,267,275.78357
477,387,531.5073
478,472,890.8184
479,534,872.52924
480,39,498.53848
481,27,638.198
482,298,544.63257
483,527,808.2178
484,581,908.2103
485,479,673.974
486,68,234.3835
487,535,612.38074
488,312,483.90833
489,66,682.8465
490,10,267.08365
491,471,497.81464
492,125,491.07248
493,259,328.7942
494,365,246.14417
495,78,452.35876
496,557,819.0395
497,249,604.338
498,273,193.29759
499,354,279.4995
500,42,196.94812
501,388,690.9236
502,553,842.3675
503,522,576.62756
504,607,958.3711
505,497,649.9366
506,229,507.73392
507,351,680.5023
508,324,458.24503
509,571,846.24884
510,88,516.93475
511,305,343.64984
512,530,908.2103
513,36,706.81714
514,495,887.87164
515,196,288.39743
516,18,196.86165
517,376,525.9913
518,323,696.331
519,105,408.52484
520,242,488.69534
521,26,588.18384
522,402,768.4808
523,150,557.92285
524,141,373.62982
525,487,929.0956
526,349,658.8331
527,502,599.50757
528,541,804.4732
529,67,266.5575
530,9,249.37138
531,325,540.25653
532,366,571.69824
533,555,921.7954
534,451,489.5402
535,220,381.3233
536,95,485.94083
537,539,649.7066
538,7,288.50275
539,145,205.41714
540,132,551.13135
541,445,626.3407
542,500,697.6677
543,317,853.08264
544,48,214.65672
545,291,378.38025
546,38,255.69473
547,400,675.642
548,206,389.9506
549,61,378.6304
550,72,548.7608
551,386,666.1954
552,410,652.5148
553,442,872.0594
554,483,858.98456
555,189,453.32236
556,364,665.2009
557,231,428.59924
558,528,904.203
559,336,546.5422
560,329,531.25323
561,159,365.57254
562,211,386.33145
563,478,743.3646
564,218,624.27765
565,399,765.8005
566,290,460.57126
567,579,949.99554
568,345,373.6081
569,230,301.85522
570,468,609.3465
571,274,455.4784
572,115,244.10057
573,412,731.72327
574,6,243.83043
575,593,581.9521
576,493,849.7034
577,402,480.93768
578,236,440.38068
579,187,431.54468
580,489,612.1605
581,375,453.4472
582,521,551.13135
583,488,909.337
584,558,844.44763
585,578,641.89795
586,244,412.89716
587,452,584.86804
588,449,521.2364
589,503,604.3181
590,262,719.1391
591,331,722.6383
592,487,711.14545
593,570,894.34406
594,269,358.87424
595,110,548.6967
596,534,839.9617
597,458,540.7008
598,79,244.41011
599,101,523.1701
600,11,172.65778
601,170,482.54727
602,64,362.93335
603,494,685.8151
604,86,372.72095
605,177,299.88092
606,319,678.2681
607,600,750.7771
608,204,248.82875
609,447,869.5223
610,14,205.26776
611,55,650.33514
612,44,574.746
613,90,249.92804
614,245,453.64572
615,547,820.70966
616,444,639.14905
617,268,857.18536
618,59,223.51956
619,40,316.60785
620,501,770.25653
621,222,203.35423
